Crash ID,State,Date,Day,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day
20224063,SA,12-1-2022 1:00,Saturday,Single,No,No,No,100,Driver,Male,32,Inner Regional Australia,Playford,Sub-Arterial Road,No,No,26_to_39,Weekend,Night
20221154,NSW & ACT,12-1-2022 18:00,Thursday,Multiple,No,No,No,80,Driver,Female,24,Inner Regional Australia,Penrith,Arterial Road,No,No,17_to_25,Weekday,Night
20221108,NSW & ACT,12-1-2022 20:00,Tuesday,Single,No,No,No,60,Motorcycle rider,Male,21,Major Cities of Australia,Inner West,Arterial Road,Yes,No,17_to_25,Weekday,Night
20225062,WA,12-1-2022 19:00,Thursday,Single,No,No,No,110,Driver,Male,29,Unknown,Unknown,Unknown,No,No,26_to_39,Weekday,Night
20221106,NSW & ACT,12-1-2022 20:00,Friday,Multiple,No,No,No,50,Passenger,Male,29,Major Cities of Australia,Northern Beaches,Collector Road,Yes,No,26_to_39,Weekend,Night
20225030,WA,12-1-2022 18:00,Sunday,Single,No,No,No,110,Driver,Male,29,Unknown,Unknown,Unknown,No,No,26_to_39,Weekend,Night
20225055,WA,12-1-2022 4:00,Saturday,Single,No,No,No,50,Driver,Male,33,Unknown,Unknown,Unknown,No,No,26_to_39,Weekend,Night
20223032,Qld,12-1-2022 17:00,Sunday,Single,No,No,No,100,Passenger,Male,10,Very Remote Australia,Cook,Sub-Arterial Road,No,No,0_to_16,Weekend,Day
20227016,NT,12-1-2022 12:00,Sunday,Multiple,No,No,No,130,Driver,Male,19,Remote Australia,Coomalie,National or State Highway,No,No,17_to_25,Weekend,Day
20222059,Vic,12-1-2022 19:00,Friday,Single,No,No,No,80,Motorcycle rider,Male,33,Outer Regional Australia,Mansfield,Sub-Arterial Road,Yes,No,26_to_39,Weekend,Night
20222103,Vic,12-1-2022 21:00,Saturday,Multiple,No,No,No,80,Motorcycle rider,Male,30,Inner Regional Australia,Bass Coast,Arterial Road,Yes,No,26_to_39,Weekend,Night
20221002,NSW & ACT,12-1-2022 16:00,Sunday,Multiple,No,No,No,80,Passenger,Female,24,Inner Regional Australia,Lithgow,Arterial Road,No,No,17_to_25,Weekend,Day
20223134,Qld,12-1-2022 8:00,Saturday,Single,No,No,No,100,Driver,Male,19,Outer Regional Australia,Banana,Sub-Arterial Road,Yes,No,17_to_25,Weekend,Day
20223160,Qld,12-1-2022 12:00,Saturday,Single,No,No,No,80,Driver,Female,20,Inner Regional Australia,Sunshine Coast,Local Road,Yes,No,17_to_25,Weekend,Day
20222023,Vic,12-1-2022 16:00,Sunday,Single,No,No,No,80,Driver,Male,34,Major Cities of Australia,Wyndham,Sub-Arterial Road,No,No,26_to_39,Weekend,Day
