Crash ID,State,Month,Year,Day,Time,Crash Type,Number Fatalities,"Bus 
Involvement",Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,National Remoteness Areas,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Day of week,Time of Day,Time
20224030,SA,12,2022,Friday,21:00,Single,1,No,No,No,100,Inner Regional Australia,Light,Sub-Arterial Road,Yes,No,Weekend,Night,21:00
20224037,SA,12,2022,Saturday,22:00,Single,1,No,No,No,100,Inner Regional Australia,Alexandrina,Arterial Road,No,No,Weekend,Night,22:00
20225055,WA,12,2022,Saturday,4:00,Single,1,No,No,No,50,Unknown,Unknown,Unknown,No,No,Weekend,Night,4:00
20225093,WA,12,2022,Thursday,9:00,Single,1,No,Yes,No,110,Unknown,Unknown,Unknown,No,No,Weekday,Day,9:00
20221191,NSW & ACT,12,2022,Wednesday,16:00,Single,1,Yes,No,No,40,Major Cities of Australia,Sydney,Collector Road,No,No,Weekday,Day,16:00
20221010,NSW & ACT,12,2022,Saturday,3:00,Single,1,No,No,No,70,Major Cities of Australia,Northern Beaches,Arterial Road,No,No,Weekend,Night,3:00
20221054,NSW & ACT,12,2022,Thursday,22:00,Multiple,1,No,No,No,60,Major Cities of Australia,Lake Macquarie,Collector Road,No,No,Weekday,Night,22:00
20221087,NSW & ACT,12,2022,Friday,17:00,Single,1,No,Yes,No,50,Inner Regional Australia,Edward River,National or State Highway,No,No,Weekday,Day,17:00
20222138,Vic,12,2022,Saturday,12:00,Multiple,1,No,No,No,100,Inner Regional Australia,Moira,Local Road,Yes,No,Weekend,Day,12:00
20222023,Vic,12,2022,Sunday,16:00,Single,1,No,No,No,80,Major Cities of Australia,Wyndham,Sub-Arterial Road,No,No,Weekend,Day,16:00
20223109,Qld,12,2022,Thursday,12:00,Multiple,1,No,No,No,100,Inner Regional Australia,South Burnett,National or State Highway,No,No,Weekday,Day,12:00
20223159,Qld,12,2022,Friday,17:00,Multiple,3,No,No,No,60,Major Cities of Australia,Gold Coast,Local Road,Yes,No,Weekday,Day,17:00
20223174,Qld,12,2022,Sunday,20:00,Single,1,No,No,No,60,Outer Regional Australia,Cairns,Collector Road,No,No,Weekend,Night,20:00
20223209,Qld,12,2022,Saturday,19:00,Multiple,1,No,No,No,60,Major Cities of Australia,Moreton Bay,Sub-Arterial Road,No,No,Weekend,Night,19:00
20223086,Qld,12,2022,Wednesday,13:00,Multiple,2,No,Yes,Yes,100,Outer Regional Australia,Gladstone,National or State Highway,No,No,Weekday,Day,13:00
20225014,WA,12,2022,Monday,18:00,Single,1,No,No,No,60,Unknown,Unknown,Unknown,No,No,Weekday,Night,18:00
20225036,WA,12,2022,Saturday,15:00,Multiple,1,No,No,Yes,110,Unknown,Unknown,Unknown,Yes,No,Weekend,Day,15:00
20225052,WA,12,2022,Wednesday,10:00,Multiple,1,No,No,No,70,Unknown,Unknown,Unknown,No,No,Weekday,Day,10:00
20225092,WA,12,2022,Thursday,17:00,Single,1,No,No,No,110,Unknown,Unknown,Unknown,No,No,Weekday,Day,17:00
20221108,NSW & ACT,12,2022,Tuesday,20:00,Single,1,No,No,No,60,Major Cities of Australia,Inner West,Arterial Road,Yes,No,Weekday,Night,20:00
20221147,NSW & ACT,12,2022,Thursday,16:00,Multiple,1,No,No,Yes,80,Major Cities of Australia,Hawkesbury,Arterial Road,No,No,Weekday,Day,16:00
20221061,NSW & ACT,12,2022,Friday,23:00,Multiple,2,No,No,No,60,Major Cities of Australia,Sydney,National or State Highway,No,No,Weekend,Night,23:00
