National LGA Name 2021,Year,Fatalities,Population,Fatality Rate
Darebin,2015,2,150483,1.32905378
Darebin,2016,2,150483,1.32905378
Darebin,2017,4,150483,2.65810756
Darebin,2018,1,150483,0.6645268901
Darebin,2019,3,150483,1.99358067
Darebin,2020,5,150483,3.32263445
Darebin,2021,2,150483,1.32905378
Darebin,2022,2,150483,1.32905378
Darwin,2015,9,84846,10.6074535
Darwin,2016,5,84846,5.893029724
Darwin,2017,1,84846,1.178605945
Darwin,2018,3,84846,3.535817835
Darwin,2019,4,84846,4.71442378
Darwin,2020,1,84846,1.178605945
Darwin,2021,6,84846,7.071635669
Darwin,2022,3,84846,3.535817835
Denmark,2016,2,6537,30.59507419
Denmark,2017,1,6537,15.2975371
Denmark,2018,1,6537,15.2975371
Denmark,2019,1,6537,15.2975371
Denmark,2021,1,6537,15.2975371
Derby-West Kimberley,2015,5,8405,59.48839976
Derby-West Kimberley,2016,2,8405,23.7953599
Derby-West Kimberley,2017,3,8405,35.69303986
Derby-West Kimberley,2019,4,8405,47.59071981
Derby-West Kimberley,2020,5,8405,59.48839976
Derby-West Kimberley,2021,1,8405,11.89767995
Derwent Valley,2017,2,11236,17.7999288
Derwent Valley,2018,1,11236,8.8999644
Derwent Valley,2019,1,11236,8.8999644
Derwent Valley,2021,2,11236,17.7999288
Devonport,2016,1,26937,3.712365891
Devonport,2019,2,26937,7.424731782
Devonport,2020,1,26937,3.712365891
Devonport,2021,1,26937,3.712365891
Devonport,2022,1,26937,3.712365891
Donnybrook-Balingup,2016,1,6398,15.62988434
Donnybrook-Balingup,2017,3,6398,46.88965302
Donnybrook-Balingup,2018,2,6398,31.25976868
Donnybrook-Balingup,2019,3,6398,46.88965302
Donnybrook-Balingup,2020,2,6398,31.25976868
Donnybrook-Balingup,2021,4,6398,62.51953736
Doomadgee,2021,1,1442,69.3481276
Dorset,2018,1,7022,14.24095699
Dorset,2019,1,7022,14.24095699
Dorset,2022,1,7022,14.24095699
Douglas,2018,1,12660,7.898894155
Douglas,2019,1,12660,7.898894155
Douglas,2020,1,12660,7.898894155
Douglas,2021,1,12660,7.898894155
Douglas,2022,6,12660,47.39336493
Dowerin,2021,1,733,136.425648
Dubbo,2015,7,55894,12.52370559
Dubbo,2016,7,55894,12.52370559
Dubbo,2017,6,55894,10.73460479
Dubbo,2018,7,55894,12.52370559
Dubbo,2019,7,55894,12.52370559
Dubbo,2020,4,55894,7.156403192
Dubbo,2021,7,55894,12.52370559
Dubbo,2022,1,55894,1.789100798
Dumbleyung,2015,1,693,144.3001443
Dumbleyung,2018,1,693,144.3001443
Dumbleyung,2021,1,693,144.3001443
Dundas,2016,3,695,431.6546763
Dundas,2017,1,695,143.8848921
Dundas,2018,2,695,287.7697842
Dundas,2019,1,695,143.8848921
Dundas,2020,2,695,287.7697842
Dundas,2021,1,695,143.8848921
Dungog,2016,2,9722,20.57189879
Dungog,2017,2,9722,20.57189879
Dungog,2021,1,9722,10.28594939
East Arnhem,2015,2,10111,19.78043715
East Arnhem,2017,3,10111,29.67065572
East Arnhem,2018,2,10111,19.78043715
East Arnhem,2021,2,10111,19.78043715
East Arnhem,2022,1,10111,9.890218574
East Gippsland,2015,9,48922,18.39663137
East Gippsland,2016,5,48922,10.22035076
East Gippsland,2017,9,48922,18.39663137
East Gippsland,2018,5,48922,10.22035076
East Gippsland,2019,2,48922,4.088140305
East Gippsland,2020,9,48922,18.39663137
East Gippsland,2021,4,48922,8.17628061
East Gippsland,2022,2,48922,4.088140305
East Pilbara,2015,1,10304,9.704968944
East Pilbara,2016,4,10304,38.81987578
East Pilbara,2017,1,10304,9.704968944
East Pilbara,2018,1,10304,9.704968944
East Pilbara,2019,2,10304,19.40993789
East Pilbara,2020,1,10304,9.704968944
Edward River,2016,1,8457,11.82452406
Edward River,2017,4,8457,47.29809625
Edward River,2022,1,8457,11.82452406
Elliston,2020,1,1032,96.89922481
Elliston,2021,1,1032,96.89922481
Esperance,2015,1,14496,6.898454746
Esperance,2017,1,14496,6.898454746
Esperance,2018,2,14496,13.79690949
Esperance,2019,1,14496,6.898454746
Esperance,2020,2,14496,13.79690949
Esperance,2021,2,14496,13.79690949
Etheridge,2018,2,720,277.7777778
Etheridge,2019,1,720,138.8888889
Eurobodalla,2015,3,40755,7.361059993
Eurobodalla,2016,3,40755,7.361059993
Eurobodalla,2017,4,40755,9.814746657
Eurobodalla,2019,5,40755,12.26843332
Eurobodalla,2020,8,40755,19.62949331
Eurobodalla,2021,3,40755,7.361059993
Eurobodalla,2022,7,40755,17.17580665
Exmouth,2015,2,3312,60.38647343
Fairfield,2015,8,206807,3.868341014
Fairfield,2016,7,206807,3.384798387
Fairfield,2017,10,206807,4.835426267
Fairfield,2018,4,206807,1.934170507
Fairfield,2019,7,206807,3.384798387
Fairfield,2020,5,206807,2.417713134
Fairfield,2021,4,206807,1.934170507
Fairfield,2022,4,206807,1.934170507
Federation,2015,1,12854,7.779679477
Federation,2016,2,12854,15.55935895
Federation,2018,4,12854,31.11871791
Federation,2020,5,12854,38.89839739
Federation,2021,2,12854,15.55935895
Federation,2022,5,12854,38.89839739
Flinders (Qld),2021,1,1535,65.1465798
Flinders Ranges,2018,1,1683,59.41770648
Forbes,2015,1,9339,10.70778456
Forbes,2016,2,9339,21.41556912
Forbes,2017,2,9339,21.41556912
Forbes,2018,1,9339,10.70778456
Forbes,2019,1,9339,10.70778456
Forbes,2021,2,9339,21.41556912
Forbes,2022,1,9339,10.70778456
Franklin Harbour,2015,3,1327,226.0738508
Franklin Harbour,2019,1,1327,75.35795026
Frankston,2015,2,141078,1.417655481
Frankston,2016,3,141078,2.126483222
Frankston,2017,4,141078,2.835310963
Frankston,2018,3,141078,2.126483222
Frankston,2019,6,141078,4.252966444
Frankston,2020,5,141078,3.544138703
Frankston,2021,2,141078,1.417655481
Fraser Coast,2018,3,115079,2.606904822
Fraser Coast,2020,10,115079,8.68968274
Fraser Coast,2021,6,115079,5.213809644
Fraser Coast,2022,11,115079,9.558651014
Fremantle,2015,1,33749,2.963050757
Fremantle,2016,1,33749,2.963050757
Fremantle,2018,2,33749,5.926101514
Fremantle,2019,1,33749,2.963050757
Fremantle,2020,1,33749,2.963050757
Gannawarra,2017,3,10531,28.48732314
Gannawarra,2018,3,10531,28.48732314
Gannawarra,2019,1,10531,9.49577438
Gannawarra,2020,1,10531,9.49577438
Gannawarra,2022,2,10531,18.99154876
Gawler,2016,1,26121,3.828337353
Gawler,2017,1,26121,3.828337353
Gawler,2019,1,26121,3.828337353
Gawler,2020,1,26121,3.828337353
Gawler,2021,1,26121,3.828337353
Gawler,2022,1,26121,3.828337353
George Town,2021,1,7267,13.76083666
Georges River,2015,1,153232,0.6526052
Georges River,2016,2,153232,1.3052104
Georges River,2017,1,153232,0.6526052
Georges River,2018,3,153232,1.9578156
Georges River,2019,8,153232,5.2208416
Georges River,2020,1,153232,0.6526052
Georges River,2021,3,153232,1.9578156
Georges River,2022,2,153232,1.3052104
Gilgandra,2015,2,4299,46.52244708
Gilgandra,2016,1,4299,23.26122354
Gilgandra,2017,1,4299,23.26122354
Gilgandra,2018,2,4299,46.52244708
Gilgandra,2019,1,4299,23.26122354
Gilgandra,2021,1,4299,23.26122354
Gilgandra,2022,1,4299,23.26122354
Gingin,2015,1,5890,16.97792869
Gingin,2016,2,5890,33.95585739
Gingin,2017,7,5890,118.8455008
Gingin,2018,4,5890,67.91171477
Gingin,2019,1,5890,16.97792869
Gingin,2020,2,5890,33.95585739
Gingin,2021,2,5890,33.95585739
Gladstone,2018,2,65302,3.062693333
Gladstone,2019,7,65302,10.71942666
Gladstone,2020,3,65302,4.594039999
Gladstone,2021,6,65302,9.188079998
Gladstone,2022,8,65302,12.25077333
Glamorgan-Spring Bay,2015,1,5187,19.27896665
Glamorgan-Spring Bay,2019,1,5187,19.27896665
Glamorgan-Spring Bay,2022,1,5187,19.27896665
Glen Eira,2015,1,151694,0.6592218545
Glen Eira,2016,3,151694,1.977665564
Glen Eira,2017,1,151694,0.6592218545
Glen Eira,2019,3,151694,1.977665564
Glen Eira,2020,1,151694,0.6592218545
Glen Eira,2021,3,151694,1.977665564
Glen Eira,2022,1,151694,0.6592218545
Glen Innes Severn,2016,3,8945,33.53828955
Glen Innes Severn,2017,3,8945,33.53828955
Glen Innes Severn,2018,2,8945,22.3588597
Glen Innes Severn,2019,2,8945,22.3588597
Glen Innes Severn,2020,1,8945,11.17942985
Glen Innes Severn,2022,4,8945,44.7177194
Glenelg,2015,6,20041,29.93862582
Glenelg,2016,3,20041,14.96931291
Glenelg,2017,3,20041,14.96931291
Glenelg,2018,3,20041,14.96931291
Glenelg,2019,3,20041,14.96931291
Glenelg,2020,2,20041,9.979541939
Glenelg,2021,2,20041,9.979541939
Glenelg,2022,2,20041,9.979541939
Glenorchy,2015,2,51009,3.920876708
Glenorchy,2016,3,51009,5.881315062
Glenorchy,2018,2,51009,3.920876708
Glenorchy,2019,1,51009,1.960438354
Glenorchy,2020,4,51009,7.841753416
Glenorchy,2021,1,51009,1.960438354
Glenorchy,2022,3,51009,5.881315062
Gnowangerup,2015,1,1262,79.23930269
Gnowangerup,2016,2,1262,158.4786054
Gnowangerup,2020,1,1262,79.23930269
Gold Coast,2018,17,647078,2.627194867
Gold Coast,2019,11,647078,1.69994962
Gold Coast,2020,22,647078,3.399899239
Gold Coast,2021,17,647078,2.627194867
Gold Coast,2022,19,647078,2.936276616
Golden Plains,2015,5,25312,19.75347661
Golden Plains,2016,1,25312,3.950695322
Golden Plains,2017,6,25312,23.70417193
Golden Plains,2018,2,25312,7.901390645
Golden Plains,2019,5,25312,19.75347661
Golden Plains,2020,2,25312,7.901390645
Golden Plains,2021,1,25312,3.950695322
Golden Plains,2022,1,25312,3.950695322
Goomalling,2016,1,984,101.6260163
Goondiwindi,2018,2,10410,19.21229587
Goondiwindi,2019,3,10410,28.8184438
Goondiwindi,2020,1,10410,9.606147935
Gosnells,2015,7,132915,5.266523718
Gosnells,2016,3,132915,2.257081593
Gosnells,2018,1,132915,0.7523605312
Gosnells,2019,3,132915,2.257081593
Gosnells,2020,1,132915,0.7523605312
Gosnells,2021,4,132915,3.009442125
Goulburn Mulwaree,2015,2,32428,6.16750956
Goulburn Mulwaree,2016,5,32428,15.4187739
Goulburn Mulwaree,2017,7,32428,21.58628346
Goulburn Mulwaree,2018,2,32428,6.16750956
Goulburn Mulwaree,2019,2,32428,6.16750956
Goulburn Mulwaree,2020,1,32428,3.08375478
Goulburn Mulwaree,2021,4,32428,12.33501912
Goulburn Mulwaree,2022,5,32428,15.4187739
Goyder,2015,2,4144,48.26254826
Goyder,2016,2,4144,48.26254826
Goyder,2017,1,4144,24.13127413
Goyder,2018,1,4144,24.13127413
Goyder,2020,2,4144,48.26254826
Grant,2016,1,8927,11.20197155
Grant,2017,1,8927,11.20197155
Grant,2018,2,8927,22.40394309
Grant,2019,1,8927,11.20197155
Grant,2020,3,8927,33.60591464
Grant,2021,1,8927,11.20197155
Grant,2022,3,8927,33.60591464
Greater Bendigo,2015,5,122647,4.076740564
Greater Bendigo,2016,5,122647,4.076740564
Greater Bendigo,2017,6,122647,4.892088677
Greater Bendigo,2018,6,122647,4.892088677
Greater Bendigo,2019,8,122647,6.522784903
Greater Bendigo,2020,6,122647,4.892088677
Greater Bendigo,2021,5,122647,4.076740564
Greater Bendigo,2022,5,122647,4.076740564
Greater Dandenong,2015,7,159151,4.398338685
Greater Dandenong,2016,2,159151,1.256668196
Greater Dandenong,2017,8,159151,5.026672782
Greater Dandenong,2018,2,159151,1.256668196
Greater Dandenong,2019,4,159151,2.513336391
Greater Dandenong,2020,1,159151,0.6283340978
Greater Dandenong,2021,5,159151,3.141670489
Greater Dandenong,2022,3,159151,1.885002293
Greater Geelong,2015,4,276446,1.446937196
Greater Geelong,2016,11,276446,3.979077288
Greater Geelong,2017,7,276446,2.532140092
Greater Geelong,2018,5,276446,1.808671495
Greater Geelong,2019,14,276446,5.064280185
Greater Geelong,2020,10,276446,3.617342989
Greater Geelong,2021,6,276446,2.170405794
Greater Geelong,2022,10,276446,3.617342989
Greater Geraldton,2015,7,41495,16.86950235
Greater Geraldton,2016,1,41495,2.409928907
Greater Geraldton,2017,4,41495,9.639715628
Greater Geraldton,2018,3,41495,7.229786721
Greater Geraldton,2019,3,41495,7.229786721
Greater Geraldton,2020,3,41495,7.229786721
Greater Geraldton,2021,2,41495,4.819857814
Greater Hume,2016,2,11267,17.75095411
Greater Hume,2017,3,11267,26.62643117
Greater Hume,2018,4,11267,35.50190823
Greater Hume,2019,5,11267,44.37738528
Greater Hume,2020,3,11267,26.62643117
Greater Hume,2021,1,11267,8.875477057
Greater Hume,2022,6,11267,53.25286234
Greater Shepparton,2015,9,68925,13.05767138
Greater Shepparton,2016,8,68925,11.60681901
Greater Shepparton,2017,8,68925,11.60681901
Greater Shepparton,2018,4,68925,5.803409503
Greater Shepparton,2019,7,68925,10.15596663
Greater Shepparton,2020,6,68925,8.705114255
Greater Shepparton,2021,3,68925,4.352557127
Greater Shepparton,2022,5,68925,7.254261879
Griffith,2015,1,27014,3.70178426
Griffith,2016,1,27014,3.70178426
Griffith,2017,3,27014,11.10535278
Griffith,2018,1,27014,3.70178426
Griffith,2020,3,27014,11.10535278
Griffith,2021,1,27014,3.70178426
Griffith,2022,1,27014,3.70178426
Gunnedah,2015,1,13144,7.608034084
Gunnedah,2016,2,13144,15.21606817
Gunnedah,2017,1,13144,7.608034084
Gunnedah,2018,2,13144,15.21606817
Gunnedah,2020,1,13144,7.608034084
Gunnedah,2022,1,13144,7.608034084
Gwydir,2015,1,4924,20.30869212
Gwydir,2018,2,4924,40.61738424
Gwydir,2022,1,4924,20.30869212
Gympie,2018,14,55112,25.40281608
Gympie,2019,5,55112,9.072434316
Gympie,2020,10,55112,18.14486863
Gympie,2021,11,55112,19.95935549
Gympie,2022,8,55112,14.5158949
Halls Creek,2016,4,4110,97.32360097
Halls Creek,2017,2,4110,48.66180049
Halls Creek,2019,2,4110,48.66180049
Halls Creek,2020,1,4110,24.33090024
Harvey,2015,3,30147,9.951238929
Harvey,2016,3,30147,9.951238929
Harvey,2017,3,30147,9.951238929
Harvey,2018,9,30147,29.85371679
Harvey,2019,4,30147,13.26831857
Harvey,2020,3,30147,9.951238929
Harvey,2021,4,30147,13.26831857
Hawkesbury,2015,11,67862,16.20936607
Hawkesbury,2016,2,67862,2.947157467
Hawkesbury,2017,4,67862,5.894314933
Hawkesbury,2018,6,67862,8.8414724
Hawkesbury,2019,7,67862,10.31505113
Hawkesbury,2020,1,67862,1.473578733
Hawkesbury,2021,1,67862,1.473578733
Hawkesbury,2022,3,67862,4.4207362
Hay,2016,1,2834,35.2858151
Hay,2019,1,2834,35.2858151
Hay,2020,2,2834,70.5716302
Hepburn,2016,6,16567,36.21657512
Hepburn,2017,2,16567,12.07219171
Hepburn,2018,4,16567,24.14438341
Hepburn,2019,4,16567,24.14438341
Hepburn,2020,3,16567,18.10828756
Hepburn,2021,1,16567,6.036095853
Hepburn,2022,2,16567,12.07219171
Hilltops,2015,6,19239,31.18665211
Hilltops,2016,4,19239,20.79110141
Hilltops,2018,3,19239,15.59332606
Hilltops,2019,3,19239,15.59332606
Hilltops,2020,3,19239,15.59332606
Hilltops,2022,4,19239,20.79110141
Hinchinbrook,2019,2,11089,18.03589142
Hinchinbrook,2020,1,11089,9.017945712
Hindmarsh,2015,3,5599,53.58099661
Hindmarsh,2021,1,5599,17.8603322
Hobart,2015,3,55981,5.358961076
Hobart,2016,3,55981,5.358961076
Hobart,2017,3,55981,5.358961076
Hobart,2018,2,55981,3.572640717
Hobart,2019,2,55981,3.572640717
Hobart,2020,2,55981,3.572640717
Hobart,2022,1,55981,1.786320359
Hobsons Bay,2015,4,91803,4.357156084
Hobsons Bay,2016,2,91803,2.178578042
Hobsons Bay,2017,1,91803,1.089289021
Hobsons Bay,2018,2,91803,2.178578042
Hobsons Bay,2020,1,91803,1.089289021
Hobsons Bay,2021,3,91803,3.267867063
Hobsons Bay,2022,4,91803,4.357156084
Holdfast Bay,2015,1,38052,2.62798276
Holdfast Bay,2017,2,38052,5.255965521
Holdfast Bay,2020,2,38052,5.255965521
Holdfast Bay,2022,2,38052,5.255965521
Hope Vale,2019,2,1004,199.2031873
Hope Vale,2021,1,1004,99.60159363
Hornsby,2015,6,151747,3.953949666
Hornsby,2016,1,151747,0.658991611
Hornsby,2017,4,151747,2.635966444
Hornsby,2018,7,151747,4.612941277
Hornsby,2019,3,151747,1.976974833
Hornsby,2020,3,151747,1.976974833
Horsham,2015,4,20337,19.66858435
Horsham,2016,3,20337,14.75143827
Horsham,2017,1,20337,4.917146088
Horsham,2018,2,20337,9.834292177
Horsham,2019,4,20337,19.66858435
Horsham,2020,3,20337,14.75143827
Horsham,2021,6,20337,29.50287653
Horsham,2022,1,20337,4.917146088
Hume,2015,6,252987,2.371663366
Hume,2016,4,252987,1.581108911
Hume,2017,1,252987,0.3952772277
Hume,2018,8,252987,3.162217821
Hume,2019,9,252987,3.557495049
Hume,2020,2,252987,0.7905544554
Hume,2021,6,252987,2.371663366
Hume,2022,6,252987,2.371663366
Hunters Hill,2017,1,13924,7.181844298
Hunters Hill,2018,1,13924,7.181844298
Hunters Hill,2019,1,13924,7.181844298
Huon Valley,2015,1,19214,5.204538357
Huon Valley,2018,1,19214,5.204538357
Huon Valley,2019,2,19214,10.40907671
Huon Valley,2020,3,19214,15.61361507
Huon Valley,2021,2,19214,10.40907671
Huon Valley,2022,1,19214,5.204538357
Indigo,2015,1,17418,5.741187278
Indigo,2016,7,17418,40.18831094
Indigo,2017,1,17418,5.741187278
Indigo,2018,1,17418,5.741187278
Indigo,2019,2,17418,11.48237456
Indigo,2020,3,17418,17.22356183
Indigo,2021,3,17418,17.22356183
Inner West,2015,2,183105,1.092269463
Inner West,2016,2,183105,1.092269463
Inner West,2017,4,183105,2.184538926
Inner West,2018,3,183105,1.638404194
Inner West,2019,3,183105,1.638404194
Inner West,2020,2,183105,1.092269463
Inner West,2021,2,183105,1.092269463
Inner West,2022,6,183105,3.276808389
Inverell,2016,2,17966,11.13213848
Inverell,2017,4,17966,22.26427697
Inverell,2018,3,17966,16.69820773
Inverell,2020,3,17966,16.69820773
Inverell,2021,3,17966,16.69820773
Inverell,2022,2,17966,11.13213848
Ipswich,2018,5,242653,2.060555608
Ipswich,2019,6,242653,2.47266673
Ipswich,2020,5,242653,2.060555608
Ipswich,2021,7,242653,2.884777851
Ipswich,2022,11,242653,4.533222338
Irwin,2015,1,3794,26.35740643
Irwin,2016,1,3794,26.35740643
Irwin,2017,3,3794,79.07221929
Irwin,2018,5,3794,131.7870322
Irwin,2019,1,3794,26.35740643
Irwin,2020,1,3794,26.35740643
Isaac,2018,2,22746,8.79275477
Isaac,2019,3,22746,13.18913216
Isaac,2020,8,22746,35.17101908
Isaac,2021,8,22746,35.17101908
Isaac,2022,4,22746,17.58550954
Jerramungup,2016,2,1196,167.2240803
Jerramungup,2019,1,1196,83.61204013
Jerramungup,2020,1,1196,83.61204013
Joondalup,2015,3,165509,1.812590252
Joondalup,2016,5,165509,3.020983753
Joondalup,2017,4,165509,2.416787003
Joondalup,2018,3,165509,1.812590252
Joondalup,2019,1,165509,0.6041967506
Joondalup,2020,5,165509,3.020983753
Joondalup,2021,1,165509,0.6041967506
Junee,2015,1,6465,15.4679041
Junee,2017,3,6465,46.4037123
Junee,2018,2,6465,30.9358082
Junee,2019,1,6465,15.4679041
Junee,2020,3,6465,46.4037123
Junee,2022,1,6465,15.4679041
Kalamunda,2015,3,61256,4.897479431
Kalamunda,2016,1,61256,1.632493144
Kalamunda,2017,3,61256,4.897479431
Kalamunda,2018,5,61256,8.162465718
Kalamunda,2019,2,61256,3.264986287
Kalamunda,2020,1,61256,1.632493144
Kalamunda,2021,1,61256,1.632493144
Kalgoorlie-Boulder,2015,1,30726,3.254572675
Kalgoorlie-Boulder,2016,1,30726,3.254572675
Kalgoorlie-Boulder,2017,3,30726,9.763718024
Kalgoorlie-Boulder,2019,4,30726,13.0182907
Kalgoorlie-Boulder,2020,1,30726,3.254572675
Kalgoorlie-Boulder,2021,6,30726,19.52743605
Kangaroo Island,2015,1,5088,19.65408805
Kangaroo Island,2016,1,5088,19.65408805
Kangaroo Island,2017,1,5088,19.65408805
Kangaroo Island,2018,2,5088,39.3081761
Kangaroo Island,2020,1,5088,19.65408805
Kangaroo Island,2021,2,5088,39.3081761
Kangaroo Island,2022,3,5088,58.96226415
Karoonda East Murray,2019,1,1027,97.37098345
Karratha,2016,1,23787,4.203976962
Karratha,2018,2,23787,8.407953924
Karratha,2019,1,23787,4.203976962
Karratha,2021,1,23787,4.203976962
Katanning,2020,1,4233,23.62390739
Katherine,2015,3,10836,27.6854928
Katherine,2017,1,10836,9.228497601
Katherine,2018,1,10836,9.228497601
Katherine,2020,4,10836,36.9139904
Katherine,2022,2,10836,18.4569952
Kellerberrin,2018,2,1180,169.4915254
Kempsey,2015,4,31180,12.82873637
Kempsey,2016,3,31180,9.621552277
Kempsey,2017,2,31180,6.414368185
Kempsey,2018,1,31180,3.207184092
Kempsey,2019,6,31180,19.24310455
Kempsey,2020,1,31180,3.207184092
Kempsey,2021,4,31180,12.82873637
Kent,2017,1,510,196.0784314
Kent,2021,1,510,196.0784314
Kentish,2016,2,6805,29.3901543
Kentish,2018,1,6805,14.69507715
Kentish,2019,1,6805,14.69507715
Kiama,2015,1,22964,4.354642048
Kiama,2016,1,22964,4.354642048
Kiama,2017,2,22964,8.709284097
Kiama,2019,1,22964,4.354642048
Kimba,2020,1,1059,94.42870633
King Island,2015,1,1675,59.70149254
King Island,2016,1,1675,59.70149254
King Island,2021,1,1675,59.70149254
King Island,2022,1,1675,59.70149254
Kingborough,2015,1,40933,2.443016637
Kingborough,2016,3,40933,7.329049911
Kingborough,2017,1,40933,2.443016637
Kingborough,2019,1,40933,2.443016637
Kingborough,2020,2,40933,4.886033274
Kingborough,2022,2,40933,4.886033274
Kingston (SA),2015,3,2377,126.2095078
Kingston (SA),2019,2,2377,84.13967186
Kingston (SA),2021,1,2377,42.06983593
Kingston (Vic.),2015,3,160005,1.874941408
Kingston (Vic.),2016,5,160005,3.124902347
Kingston (Vic.),2017,5,160005,3.124902347
Kingston (Vic.),2018,3,160005,1.874941408
Kingston (Vic.),2019,6,160005,3.749882816
Kingston (Vic.),2020,3,160005,1.874941408
Kingston (Vic.),2021,2,160005,1.249960939
Kingston (Vic.),2022,1,160005,0.6249804694
Knox,2015,5,159465,3.135484276
Knox,2016,6,159465,3.762581131
Knox,2017,1,159465,0.6270968551
Knox,2018,7,159465,4.389677986
Knox,2019,1,159465,0.6270968551
Knox,2020,2,159465,1.25419371
Knox,2021,1,159465,0.6270968551
Knox,2022,2,159465,1.25419371
Kojonup,2015,2,1974,101.3171226
Kojonup,2020,1,1974,50.6585613
Kojonup,2021,1,1974,50.6585613
Kondinin,2016,3,866,346.4203233
Kondinin,2018,1,866,115.4734411
Kondinin,2020,1,866,115.4734411
Kondinin,2021,1,866,115.4734411
Ku-ring-gai,2015,2,124172,1.610669072
Ku-ring-gai,2016,1,124172,0.805334536
Ku-ring-gai,2017,2,124172,1.610669072
Ku-ring-gai,2018,3,124172,2.416003608
Ku-ring-gai,2020,2,124172,1.610669072
Ku-ring-gai,2021,2,124172,1.610669072
Ku-ring-gai,2022,1,124172,0.805334536
Kulin,2019,1,783,127.7139208
Kulin,2021,1,783,127.7139208
Kwinana,2015,3,49500,6.060606061
Kwinana,2016,2,49500,4.04040404
Kwinana,2017,1,49500,2.02020202
Kwinana,2018,2,49500,4.04040404
Kwinana,2020,1,49500,2.02020202
Kwinana,2021,4,49500,8.080808081
Kyogle,2015,2,9453,21.15730456
Kyogle,2016,3,9453,31.73595684
Kyogle,2017,3,9453,31.73595684
Kyogle,2019,2,9453,21.15730456
Kyogle,2020,1,9453,10.57865228
Kyogle,2021,3,9453,31.73595684
Kyogle,2022,1,9453,10.57865228
Lachlan,2015,1,6139,16.28929793
Lachlan,2017,2,6139,32.57859586
Lachlan,2018,1,6139,16.28929793
Lachlan,2019,1,6139,16.28929793
Lachlan,2020,1,6139,16.28929793
Lachlan,2021,2,6139,32.57859586
Lake Grace,2016,2,1288,155.2795031
Lake Grace,2018,2,1288,155.2795031
Lake Grace,2019,1,1288,77.63975155
Lake Grace,2021,1,1288,77.63975155
Lake Macquarie,2015,12,216603,5.540089472
Lake Macquarie,2016,9,216603,4.155067104
Lake Macquarie,2017,15,216603,6.925111841
Lake Macquarie,2018,6,216603,2.770044736
Lake Macquarie,2019,8,216603,3.693392982
Lake Macquarie,2020,6,216603,2.770044736
Lake Macquarie,2021,6,216603,2.770044736
Lake Macquarie,2022,5,216603,2.308370614
Lane Cove,2016,3,40076,7.485777024
Lane Cove,2018,1,40076,2.495259008
Lane Cove,2019,1,40076,2.495259008
Lane Cove,2022,1,40076,2.495259008
Latrobe (Tas.),2016,3,12922,23.2162204
Latrobe (Tas.),2017,1,12922,7.738740133
Latrobe (Tas.),2018,2,12922,15.47748027
Latrobe (Tas.),2019,3,12922,23.2162204
Latrobe (Tas.),2020,1,12922,7.738740133
Latrobe (Tas.),2022,4,12922,30.95496053
Latrobe (Vic.),2015,2,77668,2.575063089
Latrobe (Vic.),2016,5,77668,6.437657723
Latrobe (Vic.),2017,5,77668,6.437657723
Latrobe (Vic.),2018,4,77668,5.150126178
Latrobe (Vic.),2019,4,77668,5.150126178
Latrobe (Vic.),2020,6,77668,7.725189267
Latrobe (Vic.),2021,4,77668,5.150126178
Latrobe (Vic.),2022,6,77668,7.725189267
Launceston,2015,3,71878,4.173738835
Launceston,2016,4,71878,5.564985114
Launceston,2017,6,71878,8.34747767
Launceston,2018,7,71878,9.738723949
Launceston,2019,3,71878,4.173738835
Launceston,2020,2,71878,2.782492557
Launceston,2021,4,71878,5.564985114
Launceston,2022,6,71878,8.34747767
Leeton,2017,4,11454,34.92229789
Leeton,2018,1,11454,8.730574472
Light,2016,2,16321,12.25415109
Light,2017,2,16321,12.25415109
Light,2018,4,16321,24.50830219
Light,2019,3,16321,18.38122664
Light,2020,3,16321,18.38122664
Light,2021,4,16321,24.50830219
Light,2022,3,16321,18.38122664
Lismore,2015,2,44276,4.517119884
Lismore,2016,4,44276,9.034239769
Lismore,2017,1,44276,2.258559942
Lismore,2018,3,44276,6.775679827
Lismore,2019,6,44276,13.55135965
Lismore,2020,2,44276,4.517119884
Lismore,2021,3,44276,6.775679827
Lismore,2022,3,44276,6.775679827
Litchfield,2015,7,23087,30.32009356
Litchfield,2016,6,23087,25.98865162
Litchfield,2017,12,23087,51.97730324
Litchfield,2018,6,23087,25.98865162
Litchfield,2019,6,23087,25.98865162
Litchfield,2020,6,23087,25.98865162
Litchfield,2021,7,23087,30.32009356
Litchfield,2022,10,23087,43.31441937
Lithgow,2015,2,20813,9.609378754
Lithgow,2016,1,20813,4.804689377
Lithgow,2018,2,20813,9.609378754
Lithgow,2019,1,20813,4.804689377
Lithgow,2020,2,20813,9.609378754
Lithgow,2021,2,20813,9.609378754
Lithgow,2022,5,20813,24.02344688
Liverpool,2015,6,239755,2.502554691
Liverpool,2016,3,239755,1.251277346
Liverpool,2017,5,239755,2.085462243
Liverpool,2018,5,239755,2.085462243
Liverpool,2019,3,239755,1.251277346
Liverpool,2020,10,239755,4.170924485
Liverpool,2021,5,239755,2.085462243
Liverpool,2022,3,239755,1.251277346
Liverpool Plains,2015,5,7660,65.27415144
Liverpool Plains,2017,1,7660,13.05483029
Liverpool Plains,2018,1,7660,13.05483029
Liverpool Plains,2021,1,7660,13.05483029
Liverpool Plains,2022,1,7660,13.05483029
Livingstone,2019,4,40905,9.778755653
