National LGA Name 2021,count Crash ID,Local Government Area,Population,Fatal Crashes Per 1000 People
Dalwallinu,3,Dalwallinu,1428,21.00840336
Dandaragan,10,Dandaragan,3573,27.98768542
Dardanup,16,Dardanup,15370,10.40988939
Darebin,21,Darebin,150483,1.395506469
Darwin,32,Darwin,84846,3.771539024
Denmark,6,Denmark,6537,9.178522258
Derby-West Kimberley,16,Derby-West Kimberley,8405,19.03628792
Derwent Valley,7,Derwent Valley,11236,6.22997508
Devonport,6,Devonport,26937,2.227419534
Donnybrook-Balingup,13,Donnybrook-Balingup,6398,20.31884964
Doomadgee,1,Doomadgee,1442,6.93481276
Dorset,3,Dorset,7022,4.272287098
Douglas,9,Douglas,12660,7.109004739
Dowerin,1,Dowerin,733,13.6425648
Dubbo,40,Dubbo,55894,7.156403192
Dumbleyung,3,Dumbleyung,693,43.29004329
Dundas,8,Dundas,695,115.1079137
Dungog,5,Dungog,9722,5.142974697
East Arnhem,9,East Arnhem,10111,8.901196716
East Gippsland,38,East Gippsland,48922,7.767466579
East Pilbara,8,East Pilbara,10304,7.763975155
Edward River,4,Edward River,8457,4.729809625
Elliston,2,Elliston,1032,19.37984496
Esperance,8,Esperance,14496,5.518763797
Etheridge,3,Etheridge,720,41.66666667
Eurobodalla,37,Eurobodalla,40755,9.078640658
Exmouth,1,Exmouth,3312,3.019323671
Fairfield,46,Fairfield,206807,2.224296083
Federation,17,Federation,12854,13.22545511
Flinders (Qld),1,Flinders (Qld),1535,6.51465798
Flinders Ranges,2,Flinders Ranges,1683,11.8835413
Forbes,12,Forbes,9339,12.84934147
Franklin Harbour,3,Franklin Harbour,1327,22.60738508
Frankston,28,Frankston,141078,1.984717674
Fraser Coast,36,Fraser Coast,115079,3.128285786
Fremantle,6,Fremantle,33749,1.777830454
Gannawarra,7,Gannawarra,10531,6.647042066
Gawler,6,Gawler,26121,2.297002412
George Town,2,George Town,7267,2.752167332
Georges River,19,Georges River,153232,1.23994988
Gilgandra,8,Gilgandra,4299,18.60897883
Gingin,14,Gingin,5890,23.76910017
Gladstone,27,Gladstone,65302,4.134635999
Glamorgan-Spring Bay,3,Glamorgan-Spring Bay,5187,5.783689994
Glen Eira,13,Glen Eira,151694,0.8569884109
Glen Innes Severn,17,Glen Innes Severn,8945,19.00503074
Glenelg,21,Glenelg,20041,10.47851904
Glenorchy,16,Glenorchy,51009,3.136701366
Gnowangerup,4,Gnowangerup,1262,31.69572108
Gold Coast,84,Gold Coast,647078,1.298143346
Golden Plains,22,Golden Plains,25312,8.691529709
Goomalling,1,Goomalling,984,10.16260163
Goondiwindi,7,Goondiwindi,10410,6.724303554
Gosnells,15,Gosnells,132915,1.128540797
Goulburn Mulwaree,32,Goulburn Mulwaree,32428,9.868015295
Goyder,9,Goyder,4144,21.71814672
Grant,11,Grant,8927,12.3221687
Greater Bendigo,46,Greater Bendigo,122647,3.750601319
Greater Dandenong,33,Greater Dandenong,159151,2.073502523
Greater Geelong,65,Greater Geelong,276446,2.351272943
Greater Geraldton,19,Greater Geraldton,41495,4.578864923
Greater Hume,23,Greater Hume,11267,20.41359723
Greater Shepparton,51,Greater Shepparton,68925,7.399347116
Griffith,11,Griffith,27014,4.071962686
Gunnedah,8,Gunnedah,13144,6.086427267
Gwydir,5,Gwydir,4924,10.15434606
Gympie,51,Gympie,55112,9.253883002
Halls Creek,7,Halls Creek,4110,17.03163017
Harvey,26,Harvey,30147,8.624407072
Hawkesbury,33,Hawkesbury,67862,4.86280982
Hay,4,Hay,2834,14.11432604
Hepburn,19,Hepburn,16567,11.46858212
Hilltops,21,Hilltops,19239,10.91532824
Hinchinbrook,2,Hinchinbrook,11089,1.803589142
Hindmarsh,3,Hindmarsh,5599,5.358099661
Hobart,16,Hobart,55981,2.858112574
Hobsons Bay,17,Hobsons Bay,91803,1.851791336
Holdfast Bay,7,Holdfast Bay,38052,1.839587932
Hope Vale,3,Hope Vale,1004,29.88047809
Hornsby,30,Hornsby,151747,1.976974833
Horsham,22,Horsham,20337,10.81772139
Hume,41,Hume,252987,1.620636634
Hunters Hill,4,Hunters Hill,13924,2.872737719
Huon Valley,10,Huon Valley,19214,5.204538357
Indigo,17,Indigo,17418,9.760018372
Inner West,25,Inner West,183105,1.365336829
Inverell,18,Inverell,17966,10.01892464
Ipswich,37,Ipswich,242653,1.52481115
Irwin,8,Irwin,3794,21.08592514
Isaac,23,Isaac,22746,10.11166799
Jerramungup,3,Jerramungup,1196,25.08361204
Joondalup,21,Joondalup,165509,1.268813176
Junee,12,Junee,6465,18.56148492
Kalamunda,16,Kalamunda,61256,2.61198903
Kalgoorlie-Boulder,16,Kalgoorlie-Boulder,30726,5.207316279
Kangaroo Island,11,Kangaroo Island,5088,21.61949686
Karoonda East Murray,2,Karoonda East Murray,1027,19.47419669
Karratha,5,Karratha,23787,2.101988481
Katanning,1,Katanning,4233,2.362390739
Katherine,8,Katherine,10836,7.38279808
Kellerberrin,2,Kellerberrin,1180,16.94915254
Kempsey,24,Kempsey,31180,7.697241822
Kent,2,Kent,510,39.21568627
Kentish,5,Kentish,6805,7.347538575
Kiama,5,Kiama,22964,2.177321024
Kimba,1,Kimba,1059,9.442870633
King Island,4,King Island,1675,23.88059701
Kingborough,10,Kingborough,40933,2.443016637
Kingston (SA),6,Kingston (SA),2377,25.24190156
Kingston (Vic.),28,Kingston (Vic.),160005,1.749945314
Knox,24,Knox,159465,1.505032452
Kojonup,4,Kojonup,1974,20.26342452
Kondinin,5,Kondinin,866,57.73672055
Ku-ring-gai,14,Ku-ring-gai,124172,1.12746835
Kulin,2,Kulin,783,25.54278416
Kwinana,12,Kwinana,49500,2.424242424
Kyogle,16,Kyogle,9453,16.92584365
Lachlan,7,Lachlan,6139,11.40250855
Lake Grace,4,Lake Grace,1288,31.05590062
Lake Macquarie,69,Lake Macquarie,216603,3.185551447
Lane Cove,5,Lane Cove,40076,1.247629504
Latrobe (Tas.),13,Latrobe (Tas.),12922,10.06036217
Latrobe (Vic.),34,Latrobe (Vic.),77668,4.377607251
Launceston,36,Launceston,71878,5.008486602
Leeton,5,Leeton,11454,4.365287236
Light,22,Light,16321,13.4795662
Lismore,27,Lismore,44276,6.098111844
Litchfield,53,Litchfield,23087,22.95664227
Lithgow,14,Lithgow,20813,6.726565128
Liverpool,40,Liverpool,239755,1.668369794
Liverpool Plains,8,Liverpool Plains,7660,10.44386423
Livingstone,18,Livingstone,40905,4.400440044
Lockhart,3,Lockhart,3370,8.902077151
Lockhart River,1,Lockhart River,656,15.24390244
Lockyer Valley,19,Lockyer Valley,42625,4.457478006
Loddon,17,Loddon,7748,21.9411461
Logan,76,Logan,363057,2.093335206
Longreach,3,Longreach,3721,8.062348831
Lower Eyre Peninsula,4,Lower Eyre Peninsula,6099,6.558452205
Loxton Waikerie,19,Loxton Waikerie,11927,15.93024231
MacDonnell,26,MacDonnell,6629,39.22160205
Macedon Ranges,27,Macedon Ranges,52179,5.174495487
Mackay,36,Mackay,124963,2.880852732
Maitland,20,Maitland,93616,2.136386942
Mandurah,16,Mandurah,95568,1.674200569
Manjimup,9,Manjimup,9410,9.564293305
Manningham,14,Manningham,126491,1.106798112
Mansfield,11,Mansfield,10335,10.64344461
Maranoa,13,Maranoa,13100,9.923664122
Mareeba,24,Mareeba,23367,10.27089485
Maribyrnong,19,Maribyrnong,87526,2.170783539
Marion,18,Marion,96659,1.862216659
Maroondah,18,Maroondah,115689,1.555895548
McKinlay,2,McKinlay,846,23.64066194
Meander Valley,17,Meander Valley,21356,7.96029219
Meekatharra,5,Meekatharra,1293,38.66976025
Melbourne,26,Melbourne,159993,1.625071097
Melton,35,Melton,193155,1.812016256
Melville,7,Melville,107329,0.6522002441
Menzies,2,Menzies,571,35.0262697
Merredin,2,Merredin,3232,6.188118812
Mid Murray,16,Mid Murray,9416,16.99235344
Mid-Coast,66,Mid-Coast,97237,6.787539723
Mid-Western,31,Mid-Western,25795,12.01783291
Mildura,25,Mildura,57216,4.369407159
Mingenew,1,Mingenew,423,23.64066194
Mitcham,14,Mitcham,68363,2.047891403
Mitchell,32,Mitchell,51654,6.195067178
Moira,39,Moira,30571,12.75718818
Monash,44,Monash,194877,2.257834429
Moonee Valley,19,Moonee Valley,123038,1.544238365
Moora,3,Moora,2376,12.62626263
Moorabool,29,Moorabool,38506,7.531293824
Morawa,1,Morawa,668,14.97005988
Moree Plains,11,Moree Plains,12869,8.547672702
Moreland,22,Moreland,174735,1.259049418
Moreton Bay,88,Moreton Bay,496777,1.771418564
Mornington,2,Mornington,1065,18.77934272
Mornington Peninsula,54,Mornington Peninsula,169663,3.182779981
Mosman,1,Mosman,28123,0.3555808413
Mosman Park,1,Mosman Park,9605,1.041124414
Mount Alexander,17,Mount Alexander,20317,8.367377073
Mount Barker,18,Mount Barker,41089,4.380734503
Mount Gambier,2,Mount Gambier,27749,0.7207466936
Mount Isa,7,Mount Isa,19047,3.675119441
Mount Magnet,3,Mount Magnet,701,42.79600571
Mount Marshall,2,Mount Marshall,463,43.19654428
Mount Remarkable,6,Mount Remarkable,2912,20.6043956
Moyne,11,Moyne,17470,6.2965083
Mundaring,16,Mundaring,40498,3.950812386
Murray,20,Murray,19110,10.46572475
Murray Bridge,19,Murray Bridge,22538,8.430206762
Murray River,9,Murray River,13016,6.914566687
Murrindindi,36,Murrindindi,15348,23.45582486
Murrumbidgee,6,Murrumbidgee,3566,16.82557487
Murweh,1,Murweh,3961,2.524614996
Muswellbrook,20,Muswellbrook,16540,12.09189843
Nambucca Valley,18,Nambucca Valley,20610,8.733624454
Nannup,4,Nannup,1592,25.12562814
Naracoorte Lucindale,15,Naracoorte Lucindale,8917,16.82180105
Narrabri,22,Narrabri,12721,17.29423787
Narrandera,9,Narrandera,5721,15.73151547
Narrogin,2,Narrogin,4956,4.03551251
Narromine,18,Narromine,6430,27.99377916
Nedlands,3,Nedlands,22973,1.305880817
Newcastle,36,Newcastle,171528,2.098782706
Ngaanyatjarraku,1,Ngaanyatjarraku,1477,6.770480704
Nillumbik,17,Nillumbik,63041,2.696657731
Noosa,17,Noosa,57329,2.965340404
North Burnett,15,North Burnett,10216,14.68285043
North Sydney,10,North Sydney,69341,1.442148224
Northam,17,Northam,11934,14.24501425
Northampton,6,Northampton,3341,17.958695
Northern Areas,1,Northern Areas,4663,2.14454214
Northern Beaches,29,Northern Beaches,263298,1.101413607
Northern Grampians,21,Northern Grampians,11875,17.68421053
Northern Midlands,14,Northern Midlands,14138,9.90239072
Northern Peninsula Area,3,Northern Peninsula Area,2890,10.38062284
Norwood Payneham and St Peters,7,Norwood Payneham and St Peters,38005,1.841862913
Nungarin,1,Nungarin,261,38.31417625
Oberon,5,Oberon,5597,8.933357156
Onkaparinga,38,Onkaparinga,178550,2.128255391
Orange,12,Orange,43963,2.729568046
Orroroo Carrieton,2,Orroroo Carrieton,890,22.47191011
Palmerston,12,Palmerston,40471,2.965086111
Parkes,13,Parkes,14347,9.061127762
Parramatta,48,Parramatta,260379,1.843466639
Penrith,47,Penrith,220908,2.127582523
Perenjori,2,Perenjori,652,30.67484663
Perth,9,Perth,30466,2.954112781
Pingelly,3,Pingelly,1067,28.11621368
Plantagenet,16,Plantagenet,5586,28.64303616
Playford,36,Playford,103414,3.481153422
Pormpuraaw,1,Pormpuraaw,637,15.69858713
Port Adelaide Enfield,21,Port Adelaide Enfield,135806,1.546323432
Port Augusta,13,Port Augusta,14451,8.995917238
Port Hedland,16,Port Hedland,17015,9.403467529
