Local Government Area,Population
Orroroo Carrieton,890
Peterborough,1672
Playford,103414
Port Adelaide Enfield,135806
Port Augusta,14451
Port Lincoln,14956
Port Pirie,17621
Prospect,22744
Renmark Paringa,10035
Robe,1588
Roxby Downs,4102
Salisbury,147932
Southern Mallee,2011
Streaky Bay,2257
Tatiara,7038
Tea Tree Gully,102619
Coorong,5576
Tumby Bay,2893
Unley,39082
Victor Harbor,16726
Wakefield,6971
Walkerville,8182
Wattle Range,12181
West Torrens,63099
Whyalla,21890
Wudinna,1162
Yankalilla,5992
Yorke Peninsula,11921
Unincorporated SA,3024
Albany,40416
Armadale,100768
Ashburton,7834
Augusta Margaret River,17901
Bassendean,16600
Bayswater,72165
Belmont,44303
Beverley,1738
Boddington,1757
Boyup Brook,1938
Bridgetown-Greenbushes,5526
Brookton,955
Broome,18353
Broomehill-Tambellup,1087
Bruce Rock,1019
Bunbury,34393
Busselton,42911
Cambridge,30119
Canning,99593
Capel,19002
Carnamah,572
Carnarvon,5518
Chapman Valley,1636
Chittering,6296
Christmas Island,1787
Claremont,11718
Cockburn,125123
Cocos Islands,614
Collie,9150
Coolgardie,3635
Coorow,1091
Corrigin,1022
Cottesloe,8308
Cranbrook,1141
Cuballing,929
Cue,230
Cunderdin,1344
Dalwallinu,1428
Dandaragan,3573
Dardanup,15370
Denmark,6537
Derby-West Kimberley,8405
Donnybrook-Balingup,6398
Dowerin,733
Dumbleyung,693
Dundas,695
East Fremantle,8064
East Pilbara,10304
Esperance,14496
Exmouth,3312
Fremantle,33749
Gingin,5890
Gnowangerup,1262
Goomalling,984
Gosnells,132915
Greater Geraldton,41495
Halls Creek,4110
Harvey,30147
Irwin,3794
Jerramungup,1196
Joondalup,165509
Kalamunda,61256
Kalgoorlie-Boulder,30726
Karratha,23787
Katanning,4233
Kellerberrin,1180
Kent,510
Kojonup,1974
Kondinin,866
Koorda,374
Kulin,783
Kwinana,49500
Lake Grace,1288
Laverton,1434
Leonora,1721
Mandurah,95568
Manjimup,9410
Meekatharra,1293
Melville,107329
Menzies,571
Merredin,3232
Mingenew,423
Moora,2376
Morawa,668
Mosman Park,9605
Mount Magnet,701
Mount Marshall,463
Mukinbudin,587
Mundaring,40498
Murchison,108
Murray,19110
Nannup,1592
Narembeen,822
Narrogin,4956
Nedlands,22973
Ngaanyatjarraku,1477
Northam,11934
Northampton,3341
Nungarin,261
Peppermint Grove,1636
Perenjori,652
Perth,30466
Pingelly,1067
Plantagenet,5586
Port Hedland,17015
Quairading,982
Ravensthorpe,2200
Rockingham,143653
Sandstone,119
Serpentine-Jarrahdale,34773
Shark Bay,1081
South Perth,45137
Stirling,235983
Subiaco,17976
Swan,163817
Tammin,403
Three Springs,587
Toodyay,4812
Trayning,304
Upper Gascoyne,188
Victoria Park,38687
Victoria Plains,824
Vincent,38442
Wagin,1809
Wandering,548
Wanneroo,221064
Waroona,4399
West Arthur,797
Westonia,252
Wickepin,706
Williams,1053
Wiluna,572
Wongan-Ballidu,1338
Woodanilling,470
Wyalkatchem,485
Wyndham-East Kimberley,8057
Yalgoo,365
Yilgarn,1196
York,3567
Break O`Day,7009
Brighton,19691
Burnie,20472
Central Coast (Tas.),23345
Central Highlands (Tas.),2586
Circular Head,8367
Clarence,63086
Derwent Valley,11236
Devonport,26937
Dorset,7022
Flinders (Tas.),931
George Town,7267
Glamorgan-Spring Bay,5187
Glenorchy,51009
Hobart,55981
Huon Valley,19214
Kentish,6805
King Island,1675
Kingborough,40933
Latrobe (Tas.),12922
Launceston,71878
Meander Valley,21356
Northern Midlands,14138
Sorell,17430
Southern Midlands,6888
Tasman,2676
Waratah-Wynyard,14689
West Coast,4351
West Tamar,25932
Alice Springs,28855
Barkly,7214
Belyuen,165
Central Desert,4107
Coomalie,1396
Darwin,84846
Darwin Waterfront Precinct,288
East Arnhem,10111
Katherine,10836
Litchfield,23087
MacDonnell,6629
Palmerston,40471
Roper Gulf,7477
Tiwi Islands,2745
Victoria Daly,3263
Wagait,463
West Arnhem,7260
West Daly,3435
Unincorporated NT,7571
Unincorporated ACT,456844
Unincorp. Other Territories,2524
